seed,sentence_length,hparams/epoch,hparams/validate_best,hparams/character_error_rate_best
30084.0,200.0,270.0,0.00040912628173828125,0.0
32630.0,200.0,140.0,0.0004724860191345215,0.0
26159.0,200.0,270.0,0.0004793405532836914,0.0
30762.0,200.0,170.0,0.0004985332489013672,0.0
27968.0,5.0,70.0,0.0003565549850463867,0.0
27489.0,10.0,999.0,0.07036542892456055,0.0703125
30883.0,10.0,999.0,0.27820849418640137,0.28125
27968.0,10.0,990.0,0.0004962682723999023,0.0
25127.0,20.0,999.0,0.16054809093475342,0.1328125
33391.0,10.0,210.0,0.0004156827926635742,0.0
32780.0,20.0,999.0,0.17430436611175537,0.171875
31087.0,20.0,430.0,0.0004972219467163086,0.0
31615.0,50.0,250.0,0.0004858970642089844,0.0
32030.0,50.0,460.0,0.0004743337631225586,0.0
33016.0,10.0,220.0,0.00047218799591064453,0.0
25969.0,10.0,240.0,0.0004992485046386719,0.0
27489.0,20.0,450.0,0.0004667043685913086,0.0
25969.0,50.0,150.0,0.00035262107849121094,0.0
28785.0,50.0,780.0,0.0004420280456542969,0.0
34143.0,50.0,210.0,0.00041413307189941406,0.0
30084.0,50.0,100.0,0.0004159212112426758,0.0
32630.0,50.0,80.0,0.0003998279571533203,0.0
29885.0,100.0,999.0,0.0009593963623046875,0.0
30762.0,100.0,250.0,0.00034058094024658203,0.0
25388.0,100.0,480.0,0.00046062469482421875,0.0
26305.0,100.0,180.0,0.00038909912109375,0.0
32780.0,100.0,300.0,0.00044906139373779297,0.0
29885.0,200.0,120.0,0.0003629922866821289,0.0
31509.0,200.0,200.0,0.0004597902297973633,0.0
27968.0,100.0,370.0,0.00047028064727783203,0.0
33016.0,100.0,130.0,0.0004793405532836914,0.0
27175.0,200.0,999.0,0.17563223838806152,0.125
